CustomerID,Lookalikes
C0001,"[('C0140', 0.9969867161764148), ('C0091', 0.9936678528217004), ('C0069', 0.9913891295093918)]"
C0002,"[('C0134', 0.9988506844325151), ('C0143', 0.9984231418083602), ('C0159', 0.9905501434854227)]"
C0003,"[('C0007', 0.9977547853080485), ('C0163', 0.9976764753499918), ('C0005', 0.9933095942065239)]"
C0004,"[('C0075', 0.9943479392194652), ('C0146', 0.988167716043917), ('C0090', 0.975744088009604)]"
C0005,"[('C0163', 0.9968848831027564), ('C0007', 0.9945108441120782), ('C0003', 0.9933095942065239)]"
C0006,"[('C0185', 0.9934702881925904), ('C0169', 0.9919851644958835), ('C0081', 0.9901261447783123)]"
C0007,"[('C0163', 0.9996647685556813), ('C0003', 0.9977547853080485), ('C0005', 0.9945108441120782)]"
C0008,"[('C0055', 0.9879292831808771), ('C0170', 0.975347779236153), ('C0173', 0.9740580808629381)]"
C0009,"[('C0190', 0.9914574343850664), ('C0067', 0.975676164586347), ('C0049', 0.9744183865936725)]"
C0010,"[('C0042', 0.999988411087805), ('C0083', 0.9999546343277068), ('C0029', 0.9968608913367741)]"
C0011,"[('C0188', 0.9933998131322856), ('C0074', 0.9933421269877721), ('C0016', 0.9887421006120496)]"
C0012,"[('C0152', 0.999850975238718), ('C0199', 0.9919546447994143), ('C0148', 0.9883633651062756)]"
C0013,"[('C0044', 0.9914925852032974), ('C0046', 0.9863074422911702), ('C0056', 0.970563472166743)]"
C0014,"[('C0110', 0.999992449949955), ('C0128', 0.9999913690712926), ('C0089', 0.9999899694273984)]"
C0015,"[('C0071', 0.990894620465825), ('C0136', 0.984676998961333), ('C0052', 0.9784456122144183)]"
C0016,"[('C0188', 0.9898492094359154), ('C0011', 0.9887421006120496), ('C0021', 0.980305707361313)]"
C0017,"[('C0179', 0.9911921584729685), ('C0177', 0.9909014186503042), ('C0035', 0.9882603445865651)]"
C0018,"[('C0051', 0.9947834035340954), ('C0186', 0.9888258006837116), ('C0023', 0.9887348969754253)]"
C0019,"[('C0070', 0.9860193098066596), ('C0115', 0.9797936686310502), ('C0191', 0.9696339941172898)]"
C0020,"[('C0120', 0.9999992538259524), ('C0130', 0.9999980270603384), ('C0069', 0.999802619146615)]"
C0021,"[('C0101', 0.9868850637424035), ('C0028', 0.9858919963036131), ('C0016', 0.980305707361313)]"
C0022,"[('C0111', 0.9986461138363164), ('C0198', 0.9948830436391762), ('C0029', 0.9943949716637404)]"
C0023,"[('C0186', 0.9999911533990385), ('C0125', 0.9999409728097997), ('C0112', 0.9990550134854244)]"
C0024,"[('C0081', 0.9665250216867287), ('C0135', 0.9654808831685527), ('C0200', 0.9648593679147268)]"
C0025,"[('C0052', 0.9995102049063677), ('C0073', 0.9974696736834803), ('C0189', 0.9953475001618866)]"
C0026,"[('C0181', 0.9931108793330296), ('C0157', 0.9759096998769161), ('C0045', 0.9728136315755561)]"
C0027,"[('C0034', 0.9931655214728411), ('C0056', 0.9919679489506948), ('C0156', 0.9807380537939939)]"
C0028,"[('C0021', 0.9858919963036131), ('C0101', 0.9811193887996997), ('C0114', 0.9808369912057374)]"
C0029,"[('C0010', 0.9968608913367741), ('C0042', 0.9968302093493389), ('C0083', 0.9966084538092255)]"
C0030,"[('C0111', 0.9891463695578478), ('C0010', 0.9889538625617235), ('C0042', 0.9889533565526566)]"
C0031,"[('C0166', 0.9800282848669211), ('C0152', 0.9766188988712844), ('C0012', 0.9764478245271185)]"
C0032,"[('C0105', 0.9912841223006205), ('C0084', 0.9887332643421652), ('C0183', 0.9877789199253915)]"
